Epoch: 180, time: 1.759, Train Loss: 2.793e-04,Vali Loss: 2.925e-04, Train l2: 0.0764, Vali l2: 0.0764
Epoch: 181, time: 1.758, Train Loss: 2.662e-04,Vali Loss: 2.946e-04, Train l2: 0.0759, Vali l2: 0.0789
Epoch: 182, time: 1.757, Train Loss: 2.878e-04,Vali Loss: 4.208e-04, Train l2: 0.0784, Vali l2: 0.0887
Epoch: 183, time: 1.757, Train Loss: 2.982e-04,Vali Loss: 3.871e-04, Train l2: 0.0792, Vali l2: 0.0845
Epoch: 184, time: 1.758, Train Loss: 3.264e-04,Vali Loss: 3.497e-04, Train l2: 0.0831, Vali l2: 0.0913
Epoch: 185, time: 1.757, Train Loss: 2.418e-04,Vali Loss: 2.902e-04, Train l2: 0.0729, Vali l2: 0.0763
Epoch: 186, time: 1.758, Train Loss: 2.912e-04,Vali Loss: 2.810e-04, Train l2: 0.0783, Vali l2: 0.0756
Epoch: 187, time: 1.756, Train Loss: 3.081e-04,Vali Loss: 2.521e-04, Train l2: 0.0799, Vali l2: 0.0711
Epoch: 188, time: 1.758, Train Loss: 2.555e-04,Vali Loss: 3.160e-04, Train l2: 0.0744, Vali l2: 0.0827
Epoch: 189, time: 1.756, Train Loss: 3.211e-04,Vali Loss: 2.687e-04, Train l2: 0.0818, Vali l2: 0.0754
Epoch: 190, time: 1.757, Train Loss: 3.072e-04,Vali Loss: 2.645e-04, Train l2: 0.0819, Vali l2: 0.0732
Epoch: 191, time: 1.756, Train Loss: 2.659e-04,Vali Loss: 3.700e-04, Train l2: 0.0760, Vali l2: 0.0866
Epoch: 192, time: 1.759, Train Loss: 3.562e-04,Vali Loss: 2.824e-04, Train l2: 0.0852, Vali l2: 0.0769
Epoch: 193, time: 1.759, Train Loss: 2.750e-04,Vali Loss: 2.608e-04, Train l2: 0.0775, Vali l2: 0.0746
Epoch: 194, time: 1.759, Train Loss: 2.993e-04,Vali Loss: 2.907e-04, Train l2: 0.0798, Vali l2: 0.0799
Epoch: 195, time: 1.756, Train Loss: 2.806e-04,Vali Loss: 4.325e-04, Train l2: 0.0767, Vali l2: 0.0919
Epoch: 196, time: 1.756, Train Loss: 2.794e-04,Vali Loss: 2.553e-04, Train l2: 0.0765, Vali l2: 0.0719
Epoch: 197, time: 1.755, Train Loss: 2.317e-04,Vali Loss: 2.648e-04, Train l2: 0.0714, Vali l2: 0.0731
Epoch: 198, time: 1.756, Train Loss: 2.381e-04,Vali Loss: 2.601e-04, Train l2: 0.0724, Vali l2: 0.0742
Epoch: 199, time: 1.759, Train Loss: 2.692e-04,Vali Loss: 3.565e-04, Train l2: 0.0754, Vali l2: 0.0809
Epoch: 200, time: 1.756, Train Loss: 1.791e-04,Vali Loss: 2.002e-04, Train l2: 0.0629, Vali l2: 0.0638
Epoch: 201, time: 1.757, Train Loss: 1.593e-04,Vali Loss: 1.950e-04, Train l2: 0.0601, Vali l2: 0.0628
Epoch: 202, time: 1.756, Train Loss: 1.730e-04,Vali Loss: 2.368e-04, Train l2: 0.0629, Vali l2: 0.0681
Epoch: 203, time: 1.757, Train Loss: 1.688e-04,Vali Loss: 2.039e-04, Train l2: 0.0622, Vali l2: 0.0639
Epoch: 204, time: 1.756, Train Loss: 1.647e-04,Vali Loss: 2.164e-04, Train l2: 0.0619, Vali l2: 0.0667
Epoch: 205, time: 1.756, Train Loss: 1.722e-04,Vali Loss: 1.975e-04, Train l2: 0.0625, Vali l2: 0.0640
Epoch: 206, time: 1.756, Train Loss: 1.934e-04,Vali Loss: 2.276e-04, Train l2: 0.0653, Vali l2: 0.0705
Epoch: 207, time: 1.756, Train Loss: 1.831e-04,Vali Loss: 2.426e-04, Train l2: 0.0646, Vali l2: 0.0693
